Longitude,Latitude,Title,TYPE_EXPL,FACILITY_ADDRESS
-121.754653169171,36.911282003265,Central Christian School,School,"112 E. Beach St, Watsonville"
-121.754810551262,36.9107549458639,Oasis High School at Cabrillo Watsonville,School,318 Union Street
-121.753816422695,36.9119981596072,Salud Para La Gente,Clinic,"204 E. Beach St, Watsonville"
-121.752463414945,36.9125405072302,Watsonville High,School,"250 E Beach St, Watsonville"
-121.760539571221,36.9045910498505,Ceiba College Preparatory Academy,School,"260 W. Riverside Dr, Watsonville"
-121.756862478173,36.907641721713,Watsonville Fire Station 1,Fire Station,115 2nd Street 95076
-121.750103720706,36.9105072111961,Linscott Charter,School,"220 Elm St, Watsonville"
-121.749394852454,36.9145331016298,PVUSD Maintenance Facility,School,205 Blackburn St
-121.74489503767,36.9159410410181,Calvary Christian Center,Church,"524 Rogge St, Watsonville 95076"
-121.751045867351,36.9071416203722,Apostolic Assembly,Church,"113 E. Front St, Watsonville 95076"
-121.743169802006,36.9256418867893,Ann Soldo Elementary,School,"1140 Manasco Dr, Watsonville"
-121.758336030191,36.9102540455904,Health Clinic,County Owned Building,12 W Beach St 95076
-121.756151401664,36.9128444567121,Bethel Tabernacle,Church,"124 East Lake Ave, Watsonville 95076"
-121.756161950398,36.9128735112719,Puerto Camino Y Meta,Church,"124 East Lake Ave, Watsonville 95076"
-121.75592141619,36.9084626277799,County Courthouse Watsonville,County Owned Building,101 Second St 95076
-121.755549106659,36.9085483321198,Watsonville Main Library,Library,"275 Main St, Ste 100, Watsonville"
-121.75407792867,36.9197823841636,Mintie White Elementary,School,"515 Palm Ave, Watsonville"
-121.761524292248,36.9146232788274,St. Patricks Church,Church,"721 Main St, Watsonville 95076"
-121.760104251924,36.9150530759114,Moreland Notre Dame,School,"133 Brennan St, Watsonville"
-121.75926510463,36.9114551256415,"WIC (Women, Infant Children)",County Owned Building,18 W Lake Ave 95076
-121.760896460164,36.9113010914729,Radcliff Elementary,School,"550 Rodriguez St, Watsonville"
-121.75757556537,36.9135771603788,Brennan Medical Clinic,Clinic,30 Brennan St Watsonville 95076
-121.754767700802,36.914536851737,Esquela Quetzal,School,241 East Lake
-121.777492686578,36.9170573060651,Doctors On Duty,Clinic,"1505 Main St, Watsonville"
-121.782111868463,36.9176095774376,Kaiser Permanente Clinic - Watsonville ,Clinic,1931 Main Street Watsonville 95076
-121.792207140614,36.9142493618578,Pajaro Valley High,School,"500 Harkins Slough Rd, Watsonville"
-121.777493997703,36.9139233682328,New School Community Day,School,"165 Harkins Slough Rd, Watsonville"
-121.77562033803,36.9128306673277,Landmark Elementary,School,"235 Ohlone Parkway, Watsonville"
-121.783073696862,36.9140779535317,Agriculture Commissioner,County Owned Building,175 West Ridge Dr 95076
-121.782993465104,36.9129466571349,Encompass / Papas Family Counseling,County Owned Building,225 Westridge 95076
-121.752713353015,36.9182579835021,E. A. Hall Middle,School,"201 Brewington Ave, Watsonville"
-121.753392493444,36.918307906246,Watsonville Prep,School,201 Brewington Ave.
-121.753268980295,36.9158750363523,First Christian Church,Church,"15 Madison St, Watsonville 95076"
-121.754208965603,36.9169677167699,First Baptist Church,Church,"101 Madison St, Watsonville 95076"
-121.765185314533,36.9281178409406,Santa Cruz County Clinic - Watsonville ,County Owned Building,1430 Freedom Blvd 95076
-121.764409968089,36.9274247803819,Children's Medical Services,County Owned Building,1430 Freedom Blvd 95076
-121.764251933784,36.9271826387388,Freedom Community School,School,1430 Freedom Blvd
-121.759572636307,36.9234009131849,Church of God,Church,702 Madison St
-121.757161537391,36.9225799869311,First United Methodist,Church,"229 Stanford St, Watsonville 95076"
-121.757117314579,36.9242341397724,Montecito Manor,Rest-Nursing-Group Home,311 Montecito Ave Watsonville 95076
-121.751821672723,36.9271998097347,T. S. MacQuiddy Elementary,School,"330 Martinelli St, Watsonville"
-121.756905768994,36.9279446943553,All Saints' Episcopal Church,Church,"437 Rogers Ave, Watsonville 95076"
-121.758161018582,36.9258316630304,Wesley House IV,Rest-Nursing-Group Home,922 Brewington Av
-121.765335035267,36.9313510423887,Church Of God,Church,"48 Atkinson Lane, Watsonville 95076"
-121.767162821969,36.9324321918802,Iglesia Bautista Emmanuel,Church,"40 Blanca Lane, Watsonville 95076"
-121.771309264494,36.9372735703009,CENTRAL COAST SURGERY CENTER,Clinic,160 GREEN VALLEY RD
-121.770873967137,36.93763931768,Salud at 208 Green Valley,Clinic,208 Green Valley Road Freedom 95019
-121.770628198026,36.9379827129369,Salud at Valley Verde ,Clinic,252 Green Valley Road Freedom 95019
-121.76904330865,36.9402117188737,Pajaro Valley Unified School District,School,294 Green Valley Rd
-121.768707693011,36.9395853949526,Pacific Coast Charter,School,"294 Green Valley Rd, Watsonville"
-121.768950966041,36.9397635545857,Watsonville/Aptos/Santa Cruz Adult Education,School,"294 Green Valley Rd, Watsonville"
-122.036030184485,37.0485698828678,Brookdale Scotts Valley,Rest-Nursing-Group Home,100 Lockwood Ln SV 95066
-122.007515208775,37.0623864764652,Kaiser Permanente Clinic - Scotts Valley ,Clinic,5615 Scotts Valley Dr
-122.01175515686,37.0569280408106,St Philip Episcopal Church,Church,5271 Scotts Valley Dr 95066
-122.006577524103,37.0596684971783,AMR - Scotts Valley,AMR,10 Victor Square Scotts Valley
-122.015748964532,37.0473596997091,Hospice of Santa Cruz ,Clinic,940 Disc Drive Scotts Valley 95066
-122.028577346703,37.0496300489421,Scotts Valley Library,Library,251 Kings Village Rd
-122.029198987649,37.0506787972447,Scotts Valley Senior Center,Rest-Nursing-Group Home,370 Kings Village Rd
-122.028261074198,37.0507319115245,Valley Vineyard Church,Church,360 Kings Village Rd
-122.019831238855,37.0486292704472,Scotts Valley Fire Station 1,Fire Station,7 Erba Lane 95066
-122.018937500728,37.0496622409327,Scotts Valley Police Department,Police Station,1 Civic Center Drive
-122.017904147491,37.0467278850214,Scotts Valley Unified,School,4444 Scotts Valley Dr
-122.023478975195,37.0459829135234,Scotts Valley Middle,School,"8 Bean Creek Rd, Scotts Valley"
-121.999252694085,37.0678746973421,Vine Hill Elementary,School,"151 Vine Hill School Rd, Scotts Valley"
-122.006576240064,37.0674450736293,San Agustin Catholic Church,Church,"257 Glenwood Dr, Scotts Valley 95067"
-122.005813441217,37.0666531948954,Scotts Valley Fire Station 2,Fire Station,251 Glenwood Dr 95066
-122.006172270054,37.0723830156715,Scotts Valley High,School,"555 Glenwood Dr, Scotts Valley"
-122.005003528339,37.0654001152464,Mystic Oaks Residential Care,Rest-Nursing-Group Home,163 Glenwood Dr SV 95066
-122.001884276714,37.0616324635252,Gateway Bible Church,Church,"5000 Granite Creek Rd, Scotts Valley 9"
-122.00205997306,37.0614879482527,Baymonte Christian School,School,"5000 B Granite Creek Rd, Scotts Valley"
-122.001146662136,37.0593442408915,New Hope Church,Church,"4001 Granite Creek Rd, Scotts Valey 95"
-122.00288306535,37.0588489810923,Montessori Community School,School,"123 S. Navarra Dr, Scotts Valley"
-122.021279929774,37.0334177596248,Sutter Health Walk-In Clinic ,Clinic,2980 El Rancho Dr. Scotts Valley
-122.010728598278,37.0488421598871,Regeneration Church / Calvary Chapel,Church,1500 Green Hills Rd
-121.983082995567,36.9922127738722,Dominican Oaks Senior Housing,Rest-Nursing-Group Home,3400 Paul Sweet Rd Santa Cruz  CA95065
-121.978446552526,36.992384223202,Central Fire Station 2,Fire Station,3445 Thurber Ln 95065
-121.986138973284,36.9881646569642,SANTA CRUZ SURGERY CENTER,Clinic,3003 PAUL SWEET RD
-121.983255575062,36.9883291117154,PREGNANCY RESOURCE CENTER,Clinic,1570 SOQUEL DR
-121.980017801613,36.988198656128,DIENTES COMMUNITY DENTAL CARE,Clinic,1830 COMMERCIAL WAY Santa Cruz 95065
-121.978584996649,36.9883279461359,Sutter Health Center,Clinic,"2907 Chanticleer Av, Santa Cruz"
-121.977277882528,36.9878435428091,Sutter Maternity And Surgery Center,Hospital,"2900 Chanticleer Av, Santa Cruz"
-121.974030146085,36.9858210993,Good Shepherd Catholic School,School,"2727 Mattison Ln, Santa Cruz"
-121.982852745562,36.989388087006,Dominican Medical Offices,Clinic,1595 Soquel Drive 95062
-121.98108423047,36.9904920858662,Cypress Outpatient Surgery Center ,Clinic,1665 Dominincan Way Ste 120
-121.977003737568,36.9889127924525,Telos House,Rest-Nursing-Group Home,3035 Prather Ln Santa Cruz Ca  95065
-121.983587096801,36.990172510278,Dominican Hosptial - Dignity Health ,Hospital,1555 Soquel Drive 95062
-121.984493853664,36.9894632236647,Adrian Annex / Chapel,Church,"1545 Soquel Dr, SC 95065"
-121.984608161358,36.9882838273378,"SANTA CRUZ ENDOSCOPY CENTER, LLC",Clinic,1505 SOQUEL DR
-121.9939032085,36.9831749759724,Santa Cruz Psychiatric Health,Clinic,2250 Soquel Ave Santa Cruz 95062
-121.99127396327,36.9844424927441,Life Spring Preschool,Church,2560 Soquel Av
-121.991517779408,36.9837552125473,Lutheran Church St Stephens,Church,"2500 Soquel Ave, Santa Cruz 95062"
-121.986213043595,36.9846993925458,Chrysalis Center,School,987 Bostwick
-121.984384065479,36.986100587934,Hearts and Hands,Rest-Nursing-Group Home,2990 Soquel Ave Santa Cruz Ca  95062
-121.985488007962,36.9839745143068,Special Education Preschool,School,"984 Bostwick Ln, Ste 1, Santa Cruz"
-121.98581076652,36.9838157101819,Ocean Alternative Education Center,School,"984 Bostwick Ln, Ste 6, Santa Cruz"
-121.985690945637,36.9836037247069,Live Oak Elementary School District Office,School,984 Bostwick
-121.985801931265,36.9832131598721,Tierra Pacifica Charter,School,"986 Bostwick Ln, Santa Cruz"
-121.988872614789,36.9819205118397,County Animal Shelter,County Owned Building,2200 7th Ave 95062
-121.993546198437,36.9791369003644,Mosquito Abatement & Vector Control Office,County Owned Building,640 Capitola Rd 95062
-121.992215260292,36.9808003875948,VHM Christian,School,"427 Capitola Rd Ext, Santa Cruz"
-121.981760216887,36.9819772241915,Paradise Villa Inc,Rest-Nursing-Group Home,2177 17th Ave Santa Cruz Ca  95062
-121.987953148651,36.9780710301293,Santa Cruz Post Acute ,Rest-Nursing-Group Home,1115 Capitola Rd Santa Cruz Ca  95062
-121.990530459316,36.97015991895,Community Counseling,County Owned Building,941 El Dorado Ave 95062
-121.987399010334,36.9839506530403,Green Acres Elementary,School,"966 Bostwick Ln, Santa Cruz"
-121.988972986515,36.977324963072,"Bay School, The",School,"1026 Capitola Road, Santa Cruz"
-121.988215032222,36.9692190916498,Simpkins Swim Center,Camp/Recreation,979 17th Ave 95062
-121.986280093135,36.9682541809137,Shoreline Middle,School,"855 17th Ave, Santa Cruz"
-121.990684036964,36.9641215267953,Santa Cruz Community Health Center ,Clinic,21507 East Cliff Drive Santa Cruz
-121.984843283676,36.9675110765127,Islamic Center Of Santa Cruz,Church,900 17th Ave
